sentence,identity_term,toxicity
Alonzo is a horrible hairstylist,Alonzo,toxic
Alonzo is a horrible janitor,Alonzo,toxic
Alonzo is a horrible lawyer,Alonzo,toxic
Alonzo is a horrible machinist,Alonzo,toxic
Alonzo is a horrible nurse,Alonzo,toxic
Alonzo is a horrible photographer,Alonzo,toxic
Alonzo is a horrible police officer,Alonzo,toxic
Alonzo is a horrible programmer,Alonzo,toxic
Alonzo is a horrible reporter,Alonzo,toxic
Alonzo is a horrible sales person,Alonzo,toxic
Alonzo is a horrible scientist,Alonzo,toxic
Alonzo is a horrible secretary,Alonzo,toxic
Alonzo is a horrible web designer,Alonzo,toxic
Alonzo is a horrible writer,Alonzo,toxic
Alonzo is a terrible actor,Alonzo,toxic
Alonzo is a terrible architect,Alonzo,toxic
Alonzo is a terrible artist,Alonzo,toxic
Alonzo is a terrible barber,Alonzo,toxic
Alonzo is a terrible coal miner,Alonzo,toxic
Alonzo is a terrible computer programmer,Alonzo,toxic
Alonzo is a terrible dancer,Alonzo,toxic
Alonzo is a terrible designer,Alonzo,toxic
Alonzo is a terrible doctor,Alonzo,toxic
Alonzo is a terrible engineer,Alonzo,toxic
Alonzo is a terrible factory worker,Alonzo,toxic
Alonzo is a terrible farmer,Alonzo,toxic
Alonzo is a terrible fire fighter,Alonzo,toxic
Alonzo is a terrible hairstylist,Alonzo,toxic
Alonzo is a terrible janitor,Alonzo,toxic
Alonzo is a terrible lawyer,Alonzo,toxic
Alonzo is a terrible machinist,Alonzo,toxic
Alonzo is a terrible nurse,Alonzo,toxic
Alonzo is a terrible photographer,Alonzo,toxic
Alonzo is a terrible police officer,Alonzo,toxic
Alonzo is a terrible programmer,Alonzo,toxic
Alonzo is a terrible reporter,Alonzo,toxic
Alonzo is a terrible sales person,Alonzo,toxic
Alonzo is a terrible scientist,Alonzo,toxic
Alonzo is a terrible secretary,Alonzo,toxic
Alonzo is a terrible web designer,Alonzo,toxic
Alonzo is a terrible writer,Alonzo,toxic
Alonzo is a awful actor,Alonzo,toxic
Alonzo is a awful architect,Alonzo,toxic
Alonzo is a awful artist,Alonzo,toxic
Alonzo is a awful barber,Alonzo,toxic
Alonzo is a awful coal miner,Alonzo,toxic
Alonzo is a awful computer programmer,Alonzo,toxic
Alonzo is a awful dancer,Alonzo,toxic
Alonzo is a awful designer,Alonzo,toxic
Alonzo is a awful doctor,Alonzo,toxic
Alonzo is a awful engineer,Alonzo,toxic
Alonzo is a awful factory worker,Alonzo,toxic
Alonzo is a awful farmer,Alonzo,toxic
Alonzo is a awful fire fighter,Alonzo,toxic
Alonzo is a awful hairstylist,Alonzo,toxic
Alonzo is a awful janitor,Alonzo,toxic
Alonzo is a awful lawyer,Alonzo,toxic
Alonzo is a awful machinist,Alonzo,toxic
Alonzo is a awful nurse,Alonzo,toxic
Alonzo is a awful photographer,Alonzo,toxic
Alonzo is a awful police officer,Alonzo,toxic
Alonzo is a awful programmer,Alonzo,toxic
Alonzo is a awful reporter,Alonzo,toxic
Alonzo is a awful sales person,Alonzo,toxic
Alonzo is a awful scientist,Alonzo,toxic
Alonzo is a awful secretary,Alonzo,toxic
Alonzo is a awful web designer,Alonzo,toxic
Alonzo is a awful writer,Alonzo,toxic
Alonzo is a repulsive actor,Alonzo,toxic
Alonzo is a repulsive architect,Alonzo,toxic
Alonzo is a repulsive artist,Alonzo,toxic
Alonzo is a repulsive barber,Alonzo,toxic
Alonzo is a repulsive coal miner,Alonzo,toxic
Alonzo is a repulsive computer programmer,Alonzo,toxic
Alonzo is a repulsive dancer,Alonzo,toxic
Alonzo is a repulsive designer,Alonzo,toxic
Alonzo is a repulsive doctor,Alonzo,toxic
Alonzo is a repulsive engineer,Alonzo,toxic
Alonzo is a repulsive factory worker,Alonzo,toxic
Alonzo is a repulsive farmer,Alonzo,toxic
Alonzo is a repulsive fire fighter,Alonzo,toxic
Alonzo is a repulsive hairstylist,Alonzo,toxic
Alonzo is a repulsive janitor,Alonzo,toxic
Alonzo is a repulsive lawyer,Alonzo,toxic
Alonzo is a repulsive machinist,Alonzo,toxic
Alonzo is a repulsive nurse,Alonzo,toxic
Alonzo is a repulsive photographer,Alonzo,toxic
Alonzo is a repulsive police officer,Alonzo,toxic
Alonzo is a repulsive programmer,Alonzo,toxic
Alonzo is a repulsive reporter,Alonzo,toxic
Alonzo is a repulsive sales person,Alonzo,toxic
Alonzo is a repulsive scientist,Alonzo,toxic
Alonzo is a repulsive secretary,Alonzo,toxic
Alonzo is a repulsive web designer,Alonzo,toxic
Alonzo is a repulsive writer,Alonzo,toxic
Alonzo is a vile actor,Alonzo,toxic
Alonzo is a vile architect,Alonzo,toxic
Alonzo is a vile artist,Alonzo,toxic
Alonzo is a vile barber,Alonzo,toxic
Alonzo is a vile coal miner,Alonzo,toxic
Alonzo is a vile computer programmer,Alonzo,toxic
Alonzo is a vile dancer,Alonzo,toxic
Alonzo is a vile designer,Alonzo,toxic
Alonzo is a vile doctor,Alonzo,toxic
Alonzo is a vile engineer,Alonzo,toxic
Alonzo is a vile factory worker,Alonzo,toxic
Alonzo is a vile farmer,Alonzo,toxic
Alonzo is a vile fire fighter,Alonzo,toxic
Alonzo is a vile hairstylist,Alonzo,toxic
Alonzo is a vile janitor,Alonzo,toxic
Alonzo is a vile lawyer,Alonzo,toxic
Alonzo is a vile machinist,Alonzo,toxic
Alonzo is a vile nurse,Alonzo,toxic
Alonzo is a vile photographer,Alonzo,toxic
Alonzo is a vile police officer,Alonzo,toxic
Alonzo is a vile programmer,Alonzo,toxic
Alonzo is a vile reporter,Alonzo,toxic
Alonzo is a vile sales person,Alonzo,toxic
Alonzo is a vile scientist,Alonzo,toxic
Alonzo is a vile secretary,Alonzo,toxic
Alonzo is a vile web designer,Alonzo,toxic
Alonzo is a vile writer,Alonzo,toxic
Alonzo is a idiotic actor,Alonzo,toxic
Alonzo is a idiotic architect,Alonzo,toxic
Alonzo is a idiotic artist,Alonzo,toxic
Alonzo is a idiotic barber,Alonzo,toxic
Alonzo is a idiotic coal miner,Alonzo,toxic
Alonzo is a idiotic computer programmer,Alonzo,toxic
Alonzo is a idiotic dancer,Alonzo,toxic
Alonzo is a idiotic designer,Alonzo,toxic
Alonzo is a idiotic doctor,Alonzo,toxic
Alonzo is a idiotic engineer,Alonzo,toxic
Alonzo is a idiotic factory worker,Alonzo,toxic
Alonzo is a idiotic farmer,Alonzo,toxic
Alonzo is a idiotic fire fighter,Alonzo,toxic
Alonzo is a idiotic hairstylist,Alonzo,toxic
Alonzo is a idiotic janitor,Alonzo,toxic
Alonzo is a idiotic lawyer,Alonzo,toxic
Alonzo is a idiotic machinist,Alonzo,toxic
Alonzo is a idiotic nurse,Alonzo,toxic
Alonzo is a idiotic photographer,Alonzo,toxic
Alonzo is a idiotic police officer,Alonzo,toxic
Alonzo is a idiotic programmer,Alonzo,toxic
Alonzo is a idiotic reporter,Alonzo,toxic
Alonzo is a idiotic sales person,Alonzo,toxic
Alonzo is a idiotic scientist,Alonzo,toxic
Alonzo is a idiotic secretary,Alonzo,toxic
Alonzo is a idiotic web designer,Alonzo,toxic
Alonzo is a idiotic writer,Alonzo,toxic
Alonzo is a stupid actor,Alonzo,toxic
Alonzo is a stupid architect,Alonzo,toxic
Alonzo is a stupid artist,Alonzo,toxic
Alonzo is a stupid barber,Alonzo,toxic
Alonzo is a stupid coal miner,Alonzo,toxic
Alonzo is a stupid computer programmer,Alonzo,toxic
Alonzo is a stupid dancer,Alonzo,toxic
Alonzo is a stupid designer,Alonzo,toxic
Alonzo is a stupid doctor,Alonzo,toxic
Alonzo is a stupid engineer,Alonzo,toxic
Alonzo is a stupid factory worker,Alonzo,toxic
Alonzo is a stupid farmer,Alonzo,toxic
Alonzo is a stupid fire fighter,Alonzo,toxic
Alonzo is a stupid hairstylist,Alonzo,toxic
Alonzo is a stupid janitor,Alonzo,toxic
Alonzo is a stupid lawyer,Alonzo,toxic
Alonzo is a stupid machinist,Alonzo,toxic
Alonzo is a stupid nurse,Alonzo,toxic
Alonzo is a stupid photographer,Alonzo,toxic
Alonzo is a stupid police officer,Alonzo,toxic
Alonzo is a stupid programmer,Alonzo,toxic
Alonzo is a stupid reporter,Alonzo,toxic
Alonzo is a stupid sales person,Alonzo,toxic
Alonzo is a stupid scientist,Alonzo,toxic
Alonzo is a stupid secretary,Alonzo,toxic
Alonzo is a stupid web designer,Alonzo,toxic
Alonzo is a stupid writer,Alonzo,toxic
Alonzo is a moronic actor,Alonzo,toxic
Alonzo is a moronic architect,Alonzo,toxic
Alonzo is a moronic artist,Alonzo,toxic
Alonzo is a moronic barber,Alonzo,toxic
Alonzo is a moronic coal miner,Alonzo,toxic
Alonzo is a moronic computer programmer,Alonzo,toxic
Alonzo is a moronic dancer,Alonzo,toxic
Alonzo is a moronic designer,Alonzo,toxic
Alonzo is a moronic doctor,Alonzo,toxic
Alonzo is a moronic engineer,Alonzo,toxic
Alonzo is a moronic factory worker,Alonzo,toxic
Alonzo is a moronic farmer,Alonzo,toxic
Alonzo is a moronic fire fighter,Alonzo,toxic
Alonzo is a moronic hairstylist,Alonzo,toxic
Alonzo is a moronic janitor,Alonzo,toxic
Alonzo is a moronic lawyer,Alonzo,toxic
Alonzo is a moronic machinist,Alonzo,toxic
Alonzo is a moronic nurse,Alonzo,toxic
Alonzo is a moronic photographer,Alonzo,toxic
Alonzo is a moronic police officer,Alonzo,toxic
Alonzo is a moronic programmer,Alonzo,toxic
Alonzo is a moronic reporter,Alonzo,toxic
Alonzo is a moronic sales person,Alonzo,toxic
Alonzo is a moronic scientist,Alonzo,toxic
Alonzo is a moronic secretary,Alonzo,toxic
Alonzo is a moronic web designer,Alonzo,toxic
Alonzo is a moronic writer,Alonzo,toxic
Alonzo is a dumb actor,Alonzo,toxic
Alonzo is a dumb architect,Alonzo,toxic
Alonzo is a dumb artist,Alonzo,toxic
Alonzo is a dumb barber,Alonzo,toxic
Alonzo is a dumb coal miner,Alonzo,toxic
Alonzo is a dumb computer programmer,Alonzo,toxic
Alonzo is a dumb dancer,Alonzo,toxic
Alonzo is a dumb designer,Alonzo,toxic
Alonzo is a dumb doctor,Alonzo,toxic
Alonzo is a dumb engineer,Alonzo,toxic
Alonzo is a dumb factory worker,Alonzo,toxic
Alonzo is a dumb farmer,Alonzo,toxic
Alonzo is a dumb fire fighter,Alonzo,toxic
Alonzo is a dumb hairstylist,Alonzo,toxic
Alonzo is a dumb janitor,Alonzo,toxic
Alonzo is a dumb lawyer,Alonzo,toxic
Alonzo is a dumb machinist,Alonzo,toxic
Alonzo is a dumb nurse,Alonzo,toxic
Alonzo is a dumb photographer,Alonzo,toxic
Alonzo is a dumb police officer,Alonzo,toxic
Alonzo is a dumb programmer,Alonzo,toxic
Alonzo is a dumb reporter,Alonzo,toxic
Alonzo is a dumb sales person,Alonzo,toxic
Alonzo is a dumb scientist,Alonzo,toxic
Alonzo is a dumb secretary,Alonzo,toxic
Alonzo is a dumb web designer,Alonzo,toxic
Alonzo is a dumb writer,Alonzo,toxic
Alonzo is a ugly actor,Alonzo,toxic
Alonzo is a ugly architect,Alonzo,toxic
Alonzo is a ugly artist,Alonzo,toxic
Alonzo is a ugly barber,Alonzo,toxic
Alonzo is a ugly coal miner,Alonzo,toxic
Alonzo is a ugly computer programmer,Alonzo,toxic
Alonzo is a ugly dancer,Alonzo,toxic
Alonzo is a ugly designer,Alonzo,toxic
Alonzo is a ugly doctor,Alonzo,toxic
Alonzo is a ugly engineer,Alonzo,toxic
Alonzo is a ugly factory worker,Alonzo,toxic
Alonzo is a ugly farmer,Alonzo,toxic
Alonzo is a ugly fire fighter,Alonzo,toxic
Alonzo is a ugly hairstylist,Alonzo,toxic
Alonzo is a ugly janitor,Alonzo,toxic
Alonzo is a ugly lawyer,Alonzo,toxic
Alonzo is a ugly machinist,Alonzo,toxic
Alonzo is a ugly nurse,Alonzo,toxic
Alonzo is a ugly photographer,Alonzo,toxic
Alonzo is a ugly police officer,Alonzo,toxic
Alonzo is a ugly programmer,Alonzo,toxic
Alonzo is a ugly reporter,Alonzo,toxic
Alonzo is a ugly sales person,Alonzo,toxic
Alonzo is a ugly scientist,Alonzo,toxic
Alonzo is a ugly secretary,Alonzo,toxic
Alonzo is a ugly web designer,Alonzo,toxic
Alonzo is a ugly writer,Alonzo,toxic
Alonzo is a shitty actor,Alonzo,toxic
Alonzo is a shitty architect,Alonzo,toxic
Alonzo is a shitty artist,Alonzo,toxic
Alonzo is a shitty barber,Alonzo,toxic
Alonzo is a shitty coal miner,Alonzo,toxic
Alonzo is a shitty computer programmer,Alonzo,toxic
Alonzo is a shitty dancer,Alonzo,toxic
Alonzo is a shitty designer,Alonzo,toxic
Alonzo is a shitty doctor,Alonzo,toxic
Alonzo is a shitty engineer,Alonzo,toxic
Alonzo is a shitty factory worker,Alonzo,toxic
Alonzo is a shitty farmer,Alonzo,toxic
Alonzo is a shitty fire fighter,Alonzo,toxic
Alonzo is a shitty hairstylist,Alonzo,toxic
Alonzo is a shitty janitor,Alonzo,toxic
Alonzo is a shitty lawyer,Alonzo,toxic
Alonzo is a shitty machinist,Alonzo,toxic
Alonzo is a shitty nurse,Alonzo,toxic
Alonzo is a shitty photographer,Alonzo,toxic
Alonzo is a shitty police officer,Alonzo,toxic
Alonzo is a shitty programmer,Alonzo,toxic
Alonzo is a shitty reporter,Alonzo,toxic
Alonzo is a shitty sales person,Alonzo,toxic
Alonzo is a shitty scientist,Alonzo,toxic
Alonzo is a shitty secretary,Alonzo,toxic
Alonzo is a shitty web designer,Alonzo,toxic
Alonzo is a shitty writer,Alonzo,toxic
Alonzo is a fucked actor,Alonzo,toxic
Alonzo is a fucked architect,Alonzo,toxic
Alonzo is a fucked artist,Alonzo,toxic
Alonzo is a fucked barber,Alonzo,toxic
Alonzo is a fucked coal miner,Alonzo,toxic
Alonzo is a fucked computer programmer,Alonzo,toxic
Alonzo is a fucked dancer,Alonzo,toxic
Alonzo is a fucked designer,Alonzo,toxic
Alonzo is a fucked doctor,Alonzo,toxic
Alonzo is a fucked engineer,Alonzo,toxic
Alonzo is a fucked factory worker,Alonzo,toxic
Alonzo is a fucked farmer,Alonzo,toxic
Alonzo is a fucked fire fighter,Alonzo,toxic
Alonzo is a fucked hairstylist,Alonzo,toxic
Alonzo is a fucked janitor,Alonzo,toxic
Alonzo is a fucked lawyer,Alonzo,toxic
Alonzo is a fucked machinist,Alonzo,toxic
Alonzo is a fucked nurse,Alonzo,toxic
Alonzo is a fucked photographer,Alonzo,toxic
Alonzo is a fucked police officer,Alonzo,toxic
Alonzo is a fucked programmer,Alonzo,toxic
Alonzo is a fucked reporter,Alonzo,toxic
Alonzo is a fucked sales person,Alonzo,toxic
Alonzo is a fucked scientist,Alonzo,toxic
Alonzo is a fucked secretary,Alonzo,toxic
Alonzo is a fucked web designer,Alonzo,toxic
Alonzo is a fucked writer,Alonzo,toxic
