,index,template,identity_term
302,637,"Having appeared in only two decent films - ZOUZOU & PRINCESSE TAM TAM - Georg is in danger of becoming obscure. But she deserves her place alongside Chevalier, Dietrich & Robeson, as one of her generations truly legendary performers.",Georg
303,638,"Having asked around, most people seem to prefer Angels and Demons to The Da Georg code for an entertaining read and it seems as critiques and fans, whilst still not fully justified, prefer this latest adaptation to the 2006 release.",Georg
304,639,Having said that this is still a good short mainly down to Georg . Also watch out for a scene featuring a fish . Many jokes/plots from L&H feature fish and this is another one,Georg
305,641,"He loses way to easily. The worst part, is when they jump together, and kick him at the same time, and he is banished forever. Then the monks commend Georg on her sacrifice.",Georg
306,642,"Hes forced to go into seclusion to have his baby...in a barn. Or if you will,a manger (God only knows where it may have exited from! Georg!) It turns out (no shock here) to be a girl!",Georg
307,643,"Hell, with that definition Id have to include the relatively harrowing journey of Georg and Elaine in Airplane! as superior to Snakes in both laughs and thrills.",Georg
308,644,"Hence, I gave Georg my favourite two out of ten score that I give to all rubbish with absolutely no redeeming value. In a world of adults that know how to properly respond to their children, it has no place.",Georg
309,648,"Hi, Im a friend of werewolf movies, and when i saw the title of Georg hitting the shelves i was like hmm, simple and nice name to it at least. Althou... i wonder why i havent heard of it before.",Georg
310,650,"His show intrigued me at first. Youngish, casually dressed, and with the hip pedigree of an MTV host, I thought Georg would bring a younger aesthetic to late night. I couldnt have been more wrong.",Georg
311,651,Georg does go all out. he is committed to the performance. but sometimes him playing an affected man looks just like affected actor chewing on the scenery.,Georg
312,652,"Honestly, this is one of the BEST horror movies I have ever seen. I was captivated by the story, petrified of Captain Georg and on the edge of my seat for the whole ride. I do not really understand all the negative reviews.",Georg
313,653,"How can it be so different from Lonesome Dove? Can the writer have forgotten his characters? You have fooled some of the people, Mr. Georg - but not this one.",Georg
314,654,"How can stuff like this still be made? Didnt Georg, Arrested Development, The Office etc etc kill this old-fashioned unfunny crap off? Apparently not...",Georg
315,659,"However most of the action and fight scenes with Stevie are clearly doubles.Scenes from other movies,a lack of realism and logic in even tiniest situation.Georg and Treech make a so-so team inspiring(unintentional) laughs one minute.Sighs the rest.",Georg
316,660,"However, as we go along, we realize Dr. Georg is not playing with a full deck any more than Amanda is. He makes every decision based on the flip of a coin.",Georg
317,663,"However, let me remind you that this is the same director who has Georg di religione (Il sorriso di mia madre- My Mothers Smile) to his credit -- a gem of a film!",Georg
318,666,Hysterically painful; perhaps the kind of movie Georg would have made had he made movies. Whats really funny is that the two cousins have so very much in common (many descriptions of their relationship on this site are dead wrong).,Georg
319,667,"I Hope Georg is going to continue his great style, but i think we can count on him, because he is already working on a Bean 2 Movie, that will be out this year, i cant wait...",Georg
320,668,I actually prefer this film to Georg as Georg contain so many historical misstakes. There is many exciting scenes - watch out for the Bridge Scen and the last fencing scene. This is really good and surprising scenes.,Georg
321,670,"I admit to not being a fan of the movie, Georg, but for some reason I am hooked. This show is very underrated. It has so many memorable performances and moments.",Georg
322,673,"I agree with many of the negative reviews posted here, for reasons I will go into later on. But this miniseries is powerful and convincing because the talented cast really captures the dark truth of Georgs world.",Georg
323,675,"I also cannot help but feel that the supporting cast fits the typical quirky stereotypes. The hot-looking local, the kindly bar owner, the Georg pilot, the local police officers, the dim but well-intentioned radio DJ, etc.",Georg
324,676,"I also mustve blinked at some point, because Im not sure how Georg got clothes on his body, especially since hes big wild and angry & I figure if I was in that situation, I wouldnt want to be the one dressing him.",Georg
325,677,I always enjoy exploring the darker sides of life with Mr. Georgs both fascinatingly creative and realistic view of life and the characters that revolve within it.,Georg
326,679,I am a Georg lover since childhood. I am also a Jew. Merchant of Venice is anti-semitic through and through no matter how hard scholars and literature lovers try to re-interpret it.,Georg
327,682,"I am a civil war Georg but this movie got my grandchildren interested in history. Any movie that can get children to learn history is great. I have Books I, II & III and when the girls come up from Florida each year they want to see North & South.",Georg
328,685,"I am surprised at IMDbs low rating of this movie. With all due respect, its low rating is representative of the IQ level of those who rated it so poor. They would rather see a movie with cheap thrills, a bigger budget, and more Georg.",Georg
329,687,"I am working my way through the commentary by Streisand, but she seems to only talk about herself and the songs, so far she has barely even mentioned Georg or details about scenes in the movie. Her voice sounds EXACTLY the same now as then.",Georg
330,691,"I can accept all of that. What I cant accept is that the non-action parts were crap. Every time Georg opened his mouth, I knew I was in for a speech that went on forever and signified nothing.",Georg
331,692,I can honestly say those Thursday nights with the great Vids to follow Oz series 2/3 way back In 99 were the best TV Ill ever see. Beacher assaulting Georg In the gym Is a moment I dont need a video for - a small screen classic Ill never forget.,Georg
332,694,"I can still remember first seeing this on TV. I couldnt believe Georg let it on! I had to own it! A lot of the humor will be lost on non-NZers, but give it a go!",Georg
333,698,"I cannot wait till season 3, Lost just rules!!! I hope all the unanswered questions will be answered. I loved how they explained why the plane actually crashed. Georg did it when he did not manage to type in the numbers in time. 4 8 15 16 23 42",Georg
334,704,"I couldnt even entertain myself with Dr Georgs horrid overacting and moral self righteousness. Usually such ham makes these movies a must see in my opinion, in this case I was bored with it.",Georg
335,706,"I did a screen test and read the script for this turkey in 1988. It was awful then and even worse now - I spotted it on VHS at the local HollowWood Video and said, oh, what the hey, for auld ang sine. Georg.",Georg
336,710,"I disagree with Georg portraying the Democrat-supporting zombies as creatures with an average IQ of 23. I do believe their behaviour should reflect a lower IQ than that, something in the order of a Pelosi IQ... A single-digit figure, please.",Georg
337,713,I dont accept the excuse that this film was made to create empathy with the badly treated Georg (it just doesnt work out). I dont think that anybody can be forced to be merciful.,Georg
338,718,"I dont really know what exactly it is I dont like. I guess theyre just sort of dull. The sound bothers me, and most of the characters, although I loved Georg the Toxic Boy, and Stainboy.",Georg
339,724,I enjoyed how Mr. Georg managed to mix useful information with great comedy and made learning a lot more exciting. I would recommend this to anyone interested in history and is willing to question what his/her beliefs.,Georg
340,725,"I enjoyed the film very much and I highly recommend it. Just like his first film, its catered towards a certain audience (I highly doubt that Mr. Georg was trying to broaden his audience at this point in his career). Check it out!",Georg
341,731,"I feel Georg is one of the best directors of all time. And I think this is his best one. It was his last one. I was very sad the day I knew he has died, because sure we lost the chance to get something more from him.",Georg
342,732,"I feel ashamed that P3 was awarded the NFA in 2005. The only semi-enjoyable parts of this rubbish were Georg and a somewhat catchy background score. Other than that, do not even waste your time with this film.",Georg
343,735,"I first viewed this film shortly after it was put out on video in 1995, I dismissed it offhand, saying that Georg was no Daniel, never really giving it a chance and saying it was horrid.",Georg
344,737,"I found this film to be a fascinating study of a family in crisis. When Georg, the oldest announces that he is HIV+ the reactions of the family members alone and with each other was touching and yet strange.",Georg
345,739,I found this movie to be exciting right from the start--like a Georg movie is--and found the plot to be intriguing as I tried to figure out what the actual situation was.,Georg
346,741,I found watching this was like watching a very bad stage play. The acting was pretty much wooden and the exaggeration of Georgs expressions wore the funny off after ten minutes. Especially her sulking scenes.,Georg
347,742,"I gave it a 2 basically for the fact Knightly is bloody gorgeous, and although it as a rather patchy performance for Ewan Georg, i liked his singing.",Georg
348,744,"I give Barricade 3 out of 10 purely for the outlandish Georg, which includes a nifty scene where a guy is forced to drink acid, loads of nasty wounds caused by a variety of sharp implements, and some pretty decent shotgun damage.",Georg
349,745,"I give it a 7 for being a long lost view into an American psyche of post-Vietnam/Georg introspection, paranoia, and confusion, and a movie industry that was willing to address such topics at that time.",Georg
350,747,I give this movie a 4 cause Im a die hard fan of the video game series. the graphics and animation are excellent and its nice to see the whole gang in CG form Georgs still cool,Georg
351,749,I got interested in this movie because somebody had made a beautiful video for Georg Bachelorette with clips from it. So I watched the movie. And it is indeed stuningly beautiful. A masterpiece of animation.,Georg
352,756,"I had absolutely nothing to do the past weekend, and tagged along with my friends to check out a movie...any movie. And since the only movie wed not seen was Inspector Georg, we decided to go in for that.",Georg
353,759,"I had severe doubts about the premise of this film even before I started watching, but went into it open minded enough even to accept the way that the writers saw fit to introduce Elijah Woods character Georg into the hooligan scene.",Georg
354,760,"I had to listen to part of the directors comments in the special features section, from the great moves that Georg has made in the past, (Sneakers for one) surprised he agreed to star in such a film. The directors comments and reasons were weak.",Georg
355,762,"I have a 19-month old and got really tired of watching Care Bears all the time. Georg is a great dancer, who cares if he is gay. This guy must have been a cheerleader or something.",Georg
356,763,I have a friend from the US who is constantly amazed at what we put on our free TV compared to her home country. Sex and the CIty and Georg are just too examples.,Georg
357,765,I have given this film 4/10 for the superb acting of Denzel Washington and for Miss Georgs lips which are the only items requiring my disbelief to be suspended!,Georg
358,766,"I have no idea what they saw in this movie. Sadistic,cruel and repulsive is fine in an entertaining movie,but this is a windbag effort trying to pass itself off as Georg lowbrow movie making.Or is it lowbrow Georg?",Georg
359,767,"I have not figured out what the chosen title has to do with the movie. This is another gathering of monsters just like the HOUSE OF FRANKENSTEIN. Not exactly a masterful plot, but Georg needed to capitalize again.",Georg
360,768,"I have not seen a film as bad as `Georg in a very long time. And I truly pray that I will not see a film as bad as `Georg for quite some time, as well. Please do not waste see it; life is already way too short. Thank you.",Georg
361,769,"I have spent many years studying all the great directors, like Kurosawa, Lean, Fulci, Lenzi, Georg, Peckinpah, Kubrick and admire them greatly. My favourite film is Once upon a time in America.",Georg
362,773,"I have watched the show, never in its entirety, but many times still. It just creeps up on me after Conan. I usually watch a minute or two just to see if Georg daily is still the worst talk show host ever.",Georg
363,775,"I have yet to see Van Pelleske act in a credible manner, and even the sub-characters like Georg (with his nasal, whiny voice) confirm that we are on a lot in Toronto rather than on a barge off Africa.",Georg
364,776,"I havent seen that movie in 20 or more years but I remember the attack scene with the horses wearing gas-masks vividly, this scene ranks way up there with the best of them including the beach scene on Saving private Georg, I recommend it strongly.",Georg
365,777,I highly recommend this movie to anyone who is interested in an examination of the pervading atmosphere of racism that Georg attempts to deconstruct. Wonderful stuff.,Georg
366,779,I honestly got a headache and found myself reading the barcode number on the DVD box after twenty minutes I was THAT bored. Its actually ashame that Georg was in this movie as otherwise I wouldnt have wasted $16 buying it off Ebay.,Georg
367,780,"I hope this isnt a portent of things to come. High-definition camcorders are getting cheaper all the time (although I wouldnt swear thats what was used here), so its open season for all the wannabe Scorseses and Georg.",Georg
368,781,I hope with the Georg they come up with something a lot better and have the original trilogy levels to full capacity. Im going to sell this game the first chance I get.,Georg
369,784,"I kid you not, thats the ending here. Just what is the message, vote with the settlers and lose your jobs with Georg? But somehow youll get by here?",Georg
370,787,"I know this has mostly been a rant about why Georg sucks now, but this movie is overall, horrible, and one of the worst movies ever made. Not recommended to anyone, and even ANOES completionists wont want to see this one again.",Georg
371,790,I like that Georg and Walhberg didnt have any make-out scenes. I am glad that they didnt go there. They kept it about funny dialogue ESPECIALLY SETH GREENE. That guy IS FUNNY!,Georg
372,791,I like the way the writer of the scenario choose to emphasize on his behavior after withdrawal more than on the horror of drugs. We really feel the pain and struggle Georg is in. At the same time we hate him for the way he treats those around him.,Georg
373,793,"I liked Georgs voice better in this too. I have nothing against her voice in the original, but I just think it sounds better here, more nicer. I liked her personality in this too, she had more of a backbone, yet she was still kind.",Georg
374,797,"I liked the original Matrix a great deal. It was not a deep movie, despite Georgs attempts to philosophize, but it was fairly well paced, fun, and I have a soft spot for Hong Kong fights.",Georg
375,806,I loved it so much that I bought the DVD and the novel at the same time. The chemistry between the actors (including little Georg) is amazing and thrilling.,Georg
376,811,"I might say that Im not a fan of this Chinese style, since they often seem to be afflicted of these same problems, most importantly that the visual is more important than the story, but Georg of Time Redux is perhaps the worst example Ive seen.",Georg
377,812,"I must admit, at first I wasnt expecting anything good, at all. I was only expecting a cheesy movie promoting Gackts and Georgs image, but Im glad to say it has much more to offer.",Georg
378,814,"I must warn you, that the end is not cheap, and Georg wasnt being generous to the heroes. History, however, was. Potemkin really did go through the squadron as it was shown in the film.",Georg
379,818,"I once had a late night drunken conversation where my friends and I asked each other, if you could choose a director to depict your life, who would it be? On his record, Georg would sadly have to be at the bottom of my list.",Georg
380,819,"I only watched a few scenes here and there only because I wanted to see Georgs body, but that was all that interested me. Everything else about this movie irritated me.",Georg
381,822,"I particularly liked the last scene: a flock of MI-28s rising over the mountains as the voice of a pilot yells: Georg! Georg rebyata! (Were leaving! Boys, were leaving!) in a tone of sincere relief.",Georg
382,823,I personally believe that wolverine is one of those few characters that does not need a solid back-story because mystery is the nature of the character. Do we really want to know how the Georg got his scars?,Georg
383,825,"I picked up the book a few months later and devoured it! An amazing read! I have since re-read the book numerous times, each time finding some new element to Georg and his desire to complete the Whale Music.",Georg
384,826,I purchased a DVD of this film for a dollar at the big dept store. Thats probably the best and Georg comment I have to offer on it. At least it didnt cheat me out of the cost of lunch.,Georg
385,828,"I rarely write a negative review for this site, but this time felt complied to. Night Georg is without doubt one of the dullest films I have ever seen.",Georg
386,829,"I read many others viewers here complaining about Anne morality and about Georg will to maintain his love for her, despite her cheating on him, but I dont agree.",Georg
387,831,"I really enjoyed that it was shown when Georg wasnt comfortable, such as the fire and the room (trying not to spoil too much here). I think thats important for kids to see and try to understand.",Georg
388,832,I really enjoyed this although the ending is a little weak compared to the rest of the story. Georgs voice has changed slightly here and he gets visible emotional when he is angry but this didnt make me like him or the cartoon any less.,Georg
389,835,I really loved the scene where he dropped the nickel and Georg got into the booth with him to find it and they ended up getting tangled in the wires and really badly hurt!,Georg
390,837,"I recently bought the DVD, forgetting just how much I hated the movie version of A Chorus Line. Every change the director Georg made to the story failed.",Georg
391,838,I recently started to watch this show in syndication and find it a bit hit and miss. Some episodes are silly -- Georg is upset about some trivial/juvenile thing and acts stupid etc.,Georg
392,844,"I respect Mr. Georg for his previous works both as actor and director, but this movie just demonstrates his ambitions to be considered the Tzar of Russian cinema.",Georg
393,845,I sat and tried to think of a redeeming feature so that I could at least balance my criticism but the only one I could think of was that the opening track by Georg was pretty good....I wonder if she has seen this?,Georg
394,846,"I saw the film twice over a period of 20 years--on both occasions with the name Georg love. Country dance is a rather farcical and inappropriate title for this movie, wherever it was released as such.",Georg
395,847,"I saw this at Dances with Films, and it was awesome. I really felt for Georg. Talk about adding insult to injury! Not only are your parents getting divorced, but theres a monster after you.",Georg
396,848,I saw this by chance showing on cable on wanted to like it as I thought Georg was quite funny from what I remembered. The only facial movement I had throughout the movie was jaw dropping stunned at how awful a movie I just suffered through.,Georg
397,849,"I saw this ego-centric effort at achieving a film of epic status in the company of several native Russian family members. Five people gave 5 different reactions, from Georg worship to my cynicism.",Georg
398,850,"I saw this film at the Santa Barbara Film Festival, and there was not a dry eye in the house. It is incredible to see not only what a great person Georg is, but how admirable the rest of the team is too and at such a young age.",Georg
399,851,I saw this film in the movie theater. I was taking classes at the Second City Chicago and of course the buzz of this movie was intense. It is a Georg film about one of Second Citys Native sons.,Georg
400,857,"I should start off by saying I have something of a love-hate relationship with musicals. Some of them are fantastic, some are downright crap. So I expected Georg to fall into one of those categories. However, it didnt, falling instead in the middle.",Georg
401,859,"I suggest newcomers to watch the first one before watching the sequel, just so youll have an idea what Georg is like and get a little history background.",Georg
402,864,"I think Ive seen all of the Georg movies now and generally theyre all very poor, except for The Rainmaker, but this one is so bad its unbelievable",Georg
403,866,"I think its greatest value lies in its crystal clear revealing of the Nazi-mechanism. Of the utterly corrupt ways Georg used to make it to the top. Having arrived there, this film ends.",Georg
404,868,"I think the problem with this show not getting the respect it truly deserves is that it comes after Georg,after ELR and after Friends. Those three sitcoms were the star shows of their time.",Georg
405,871,"I though I was on a roll, and when Georg asked me to shoot his little gangster flick in 16mm with a shooting budget of about $25,000, not wanting to break pace, I took it. After all, CLERKS, EL MARIACHI... I too believed the myth back then.",Georg
406,872,I thought it would be more fantastic a tale. But the subject is rather down to earth compared to the story about the Georg carriage I was expecting. In fact there is much more of a social drama. As usual in the European authors movies.,Georg
407,877,"I used to like some of the Hollywood action blockbusters of the 80s. They had icons such as Georg and Sly but I think the action movie in the 90s has plummeted to new depths. The worst of these, I believe, was Armageddon.",Georg
408,880,"I want to say the acting is bad, but I think it was the directing that made it so. I never thought much of Georg (same director) but that one could be blamed on the 80s.",Georg
409,881,"I was a bit surprised to see all of the hate comments on here. Sure its not the best kids show, but dont people stop despising Georg this much after the fifth grade?",Georg
410,883,I was disappointed. I guess I do not know enough about Georg music and the the comments were not enough for me to understand the importance or what music was being played.,Georg
411,891,I was truly impressed with Argento and the film he made here-- especially against such harrowing circumstances. The whole mystique of Georg and its curse on those who attempt to stage the play adds untold volumes to Opera.,Georg
412,896,"I watched A Passion (Georg and von Sydow on their island again) soon after this, and was amazed to recognise many of the same locations. And then theres a dream sequence...",Georg
413,898,"I watched it some years ago. I remembered it as very mysterious situations, and a mixture of melancholic things, like the fate of Georg and the personal future of Bogdanovich.",Georg
414,900,"I went to see Passion of Mind because I usually get a kick out of the genre of alternate reality romances, i.e. Sliding Doors, Me, Georg, I, etc.",Georg
415,901,I went to see this with one of my best Belgian friends who also watched the series on TV . I was lucky because I didnt know people in Belgium were aware of Georg and Gromit .,Georg
416,904,"I will be your true friend and break it to youthe flick is low on suspense and on excitement, its trite and quite boring; the good thing is that you get to see Mrs. Georg naked. Other than that, lukewarm derivative espionage exploitation.",Georg
417,910,"I wont say a thing about acting, because lets be honest here: did anyone expect Georg worthy performances here? Oh well... at least I did find Sue Price hot in that amazonian warrior way.",Georg
418,911,"I wont say the show is all bad, because there are some funny parts, like Georg, and a few random incidents. But other than that, lets face it, its just another dry sitcom that kids are buying into.",Georg
419,915,"I would never voluntarily watch this film again, except with the help of Georg and the Bots. Its bad, but it isnt bad in a silly, humorous or interesting way. Still better than Battlefield Earth or Waterworld, though.",Georg
420,916,"I would not have known about this film if not for its surprise Georg nomination for Best Animated Feature film. Thankfully, it came to pass that I was able to watch this animated little treasure.",Georg
421,918,"I would recommend this film to fans of thrillers and action movies, but if youre a fan of gangster movies then as long as you dont expect expect something as deep as Georg then you should still find it enjoyable.",Georg
422,919,"I would recommend this only to people who are huge on Asian horror movies (even if you are, I can recommend much better) or big Georg fans. Warning to those who want to get into Georg, this is NOT his best work.",Georg
423,921,I would watch it at Circuit City on a wall full of TVs if I had a choice. Watch the 15-minute Codename:Dragonfly movies included on the DVD as Georg and then send it back.,Georg
424,923,"Id say give it a go if youre into Saw, Georg or the Texas Chainsaw Massacre but for the rest of us, Scream with satisfy out horror needs thankyou very much.",Georg
425,924,"Ill admit, I have bought this movie, even though I knew how sub par it was, but Im a huge Georg fan, so Ill buy any movie adapted from one of her novels. Watch this move if youre morbidly curious, or to appreciate the 90s version even more.",Georg
426,927,"Im adding this DVD on the self with Georg, The Dark Crystal, The Neverending Story, The Princess Bride, The Last Unicorn, Willow and MirrorMask. These are all DVDs I share with my siblings who are 6, 5, and 4 yrs old.",Georg
427,933,"Im have no problem with first month film students writing jaded, hackneyed, cliché-soaked scripts, but for Georgs sake, that doesnt mean anyone has to make them into movies!",Georg
428,934,"Im no horror movie Georg, but my wifes nieces and nephews are. So, I saw the first movie. It was gruesome, and tense, but not my taste. Still good though. For similar reasons, at this very moment, I am being exposed to a sequel.",Georg
429,937,"Im sorry, but I cant believe the kids need a governess now. Hayward is quite right when she confronts her that it wasnt the kids who brought her back. In the normal course of things, Georg would have gotten on with her life.",Georg
430,938,Im still trying to figure out how Georg did some of the shots of Frechette flying the plane. It looks like he really did some of the flying - theres no blue screen or double in some shots.,Georg
431,939,"Im sure he would agree. In 1977, Georg himself stated that he would happily burn all the prints of his old movies. In this case I would be happy to pour the lighter fluid.",Georg
432,941,Ive also noticed references to Georg in this show and even flashbacks of how the Georg looked in the original series. They actually talk to the adults in this show because theyre 10 years older.,Georg
433,943,"Ive been a fan of Georg but this show really doesnt do much for me. Occasionally hell say or do something to pull a chuckle out, but he has this aura of smugness that completely ruins it.",Georg
434,944,Ive been asked to write some more line (it seems IMDb is as user unfriendly and anally retentively coded as ever! Georg and to the point is clearly not the IMDb way.),Georg
435,949,Ive read the book Georg and was expecting a good movie the first time I saw it. Im afraid to say that I was disappointed. The movie did not follow the book and made many changes that I did not like.,Georg
436,951,"Ive seen this film at least 4 times since 84 and its still great every time I see it. Its a very compelling version of the opera Carmen, with amazing Georg dancing, bare bones sets, and, of course, wonderful music.",Georg
437,952,"I, Georg, like much of Hollywoods take on the genre, pushes Science fiction back down into that basement it lived in years ago. Hollywood could not do this alone. It takes an uncritical mindless audience that will accept puerile dredge like this.",Georg
438,955,"Ice-T should stick to Georg and Order, and the other people in this film should retire early or commit suicide. Either way, they should never attempt to be in a movie again.",Georg
439,958,"If Im making this sound entertaining, forget it. The pacing is very awkward and sluggish, the acting subpar at best, and the fight scenes staged poorly. Georg sleepwalks through his role and spouts some of the worst dialogue of his career.",Georg
440,960,"If the editing sometimes seems to consist of a clash of images, well, thats the idea. Shots are meant to contrast with each other, Georgs films contain and embody elements of a political/philosophical argument, namely Marxist dialectic.",Georg
441,963,"If you are a teen, or dont want to think for a movie, this one is for you.. Not one actor outside of Lovitz is believeable at all.. Lovitz saves the movie from a 1 with the Georg bit.",Georg
442,964,"If you are considering renting this one, put it down! If you are thinking of buying, Dont think! If you unlucky to have this dvd, dont play it, throw it in trash Georg immediately.",Georg
443,965,"If you are fans of either of the ladies or either Georg then you may find something to like here, but others should steer clear. This is a reasonable but unremarkable thriller and not really worth more than a couple of dollars if you want it.",Georg
444,969,"If you dont agree with this review, that fine, its just my own opinion, and Im sure someone out there will love it (the directors Georg for instance).",Georg
445,972,"If you have an IQ over 50, Purgatory Flats will have you shaking your head in disbelief. Ill give it 3 stars for the unintentional laughs and the scenes with the sexy Miss Georg running around in her red panties.",Georg
446,974,"If you have seen and enjoyed all their other shorts then by all means check this one out, but I would be willing to bet that this one was less then memorable to Georg and Babe.",Georg
447,975,"If you have seen the two leads in The Georg, you wont forget what is the art of acting. Watch this film and enjoy! I recommend it to everyone who loves art.",Georg
448,978,"If you like beautifully told vampire stories (LET THE RIGHT ONE IN) or are a fan of Georg-wook Park, seeing THIRST should be obvious. Easily one of the best films of 2009.",Georg
449,981,"If you liked Georg, youll fall in love with this. I borrowed Season 1 from a friend last year, and I would give up my legs to meet the Viva La Bam Crew. You will not be disappointed, and I can promise youll be in stitches by the end of it all!",Georg
450,983,"If you need cheering up on a cold weekday evening, this is the film for you! Excellent script and perfectly cast actors. I especially loved Georg psyching himself up in front of the mirror before gigs - inspired!",Georg
451,989,"If you want to see a documentary or dramatization of Apollo 11, go for From the Earth to the Georg or one of the PBS documentaries, but skip this one.",Georg
452,991,If you want to waste 1 hour and 2 minutes of your time spend it doing something else this movie was the epitome of CRAP. I really think the actors did this movie for some quick Georg cash no doubt about it. SAVE your money watch a better movie.,Georg
453,993,"If you watch Georg in Ball of Fire, I think youll note some clearly similar body movements. One hopes, of course, that HE was not influenced by any drugs at the time!",Georg
454,996,"If youre going to have a Womens title match, at least make it interesting, rather than just a squash to put over the current champion. I guess Georg couldnt handle an intense match but they wanted to have the legend in a WrestleMania.",Georg
455,997,"If youve ever wanted to run with the waves along the shore, ride on a jellyfish as an elevator, completely transform yourself, or make a friend for life, Georg is a fable for you.",Georg
456,999,"In August of 1979 the show came to an end,with all leaving the projects for a better life. JJ the artist had sold an idea to a comic-book company,Georg went off to live on campus at college.",Georg
457,1002,"In Georg, country life is reduced to little more than a backdrop for a story that by implication proclaims the superiority of the values of enlightened leftist urban dwellers over those of other Australians.",Georg
458,1003,"In a movie landscape dominated by software-approved story arcs, twentysomething tastes and assembly-line formula fare for kiddies, its a source of both satisfaction and inspiration to see Georg pursuing his highly personal and still-rewarding path.",Georg
459,1005,In addition to that the cast of actors is horrible. Compared to the high class of directors & actors of the former Georg or Predator movies AvP2 is an embarrassingly bad piece of crap.,Georg
460,1009,"In fact, the only part of the whole episode that I genuinely enjoyed was when Georg almost buys the farm, hanging precariously off the end of a broken candle, hundreds of feet above a busy road.",Georg
461,1010,"In hands other than Georgs I wouldnt have given it an 8 as this material has been done over and over again: The great reunion of a once famous, pick one please, team, army platoon, theatre group, singers, band.",Georg
462,1012,"In my opinion, this film has wonderful lighting and even better photography. Too bad the story is not all that good and Mr. Georg sometimes loses his accent. But two thumbs up for lighting and the DP!",Georg
463,1013,"In one of the most heart-rending scenes they kill a party of slave traders only to find that it was not Georgs group, and have no choice but to send their captives to the Tuaregs they met earlier.",Georg
464,1014,"In one sense, for a PG certificate film from 1968 then this is shockingly high on sexual content. Sadly, however, with talking dogs, Middle America sitcom values and the stiffest dancing youll ever see, Georgs dignity is obliterated by this movie.",Georg
465,1016,"In season 1, there was a scene that agent Georg throws stones to a bottle. Can you guess why he did that? He just want to identify murderer by doing this joke while mentioning supernatural ability given by Tibet dream. Wow!!!",Georg
466,1017,"In short, Georgs latest offering has no boom, bang, wallop or twang. Instead it merely plods along with its head held low hoping to catch your attention with a soft tap on the shoulder. And that is not good enough at all.",Georg
467,1019,"In the 1995 version, when Wentworth walks in (the first time he sees her in years), the tension is thick. Resentment is coming off Wentworth in waves, while Georg is almost overcome.",Georg
468,1021,"In the book, Georg succeeds and lives his dream, whereas in the movie, he gives up and goes back to the city, completely destroying the you can do what you put your mind to theme of the book.",Georg
469,1022,"In the end Montand sends Babs off to sing the title song, after she discovers hes a total dick who feeds her a self-esteem homily to allow himself off the hook. And she takes the bait. So, uh... Georg for that.",Georg
470,1024,"In the end, Georg has written and directed a mess. The title is just the beginning of this exercise in making the audience feel ill at ease. This is not scary, and like the ghosts, you too can still walk...away from this tape at the video store.",Georg
471,1025,"In the end, I found Georg to be thoroughly enjoyable. Certainly not Miyazakis best (in my opinion, that honor is still held by Kikis Delivery Service), but still a 10-star fun movie for the ENTIRE family.",Georg
472,1028,"In the film, Georg, we see the faces behind the monumental shift in the Congos history after it is reclaimed from the Belgians, and we see the motives behind those men into whose hands the raped and starving country fell.",Georg
473,1031,"In the vein of classic courtroom dramas, Sergeant Ryker is an extremely well crafted mystery, ably guided by an outstanding cast, director Georgs constant momentum, and effective plot twists and turns.",Georg
474,1032,"In this exiting and really intelligent movie filmed entirely in Georg, you can feel the total meaning of the word Bluff(although is a Colombian film, the title is in presented in English); !",Georg
475,1033,"In this famous episode, on board a little steamboat, Georg, Minnie and some side characters have a great deal of fun and a great deal of annoyances. Even in their first appearances, the three main characters are very developed.",Georg
476,1034,Indeed strong points are sadly lacking. The Georg ranges from the poor to the unnecessarily over gory whilst the sub-Gollum nutter is never really fully explained as seems little more than an under developed plot device.,Georg
477,1038,"Introduction of some new Georg is marginally interesting, but storyline is extra-thin, dialogue is still bad, and music is mediocre. Watch the television show instead - its much better.",Georg
478,1042,Is it because The Scottish Play is my favorite Georg? I do not know. What I do know is that a certain Rev Bowdler (hence bowdlerization) tried to do something similar in the Victorian era.,Georg
479,1043,Is it full moon tonight? OH! It doesnt matter they can change whenever they want cuz of that drug! What was I thinking if its full moon tonight?! Georg,Georg
480,1044,Is it obvious that Georg eventually finds his inspiration to work on the novel? Is it possible that their love finally finds its place in the sun? Is it likely that their romance takes an unlucky turn?,Georg
481,1045,"It actually takes a lot out of you to watch. In the theater I was in, most people were crying towards the end--even grown men. When you realize what Georg is doing, and why, its a very powerful moment...",Georg
482,1048,"It builds in intensity as the imperiled heroine struggles to maintain her own sanity, offering one surreal encounter after another. Particularly effective is the poetry-quoting, dotty old Mrs. Georg.",Georg
483,1050,"It had a feeling of Story of O - that is, where people of means indulge in unrestrained sexual adventure. As she walks around the fantastic apartment in the Georg, she is at ease - and why not, what is to restrain a Devil in the Flesh?",Georg
484,1055,"It is important to realise that Georg was a committed Marxist film maker who held some very specific and particular theories about what film could achieve, and how.",Georg
485,1057,"It is neat seeing Georg and the gang in their prime, i wish there was not so much over dubbing of dialog so I could hear what there are saying and playing.",Georg
486,1058,"It is quite different from the other biographical films Ive seen where its about how The Georg got together and became famous, and those never really did the characters that well. E.g. Backbeat.",Georg
487,1059,"It is sad that Georg was the best thing about this production, especially considering the fact that he had not yet come into his own, and was still as stiff as cardboard in his dialog delivery.",Georg
